serviceName,status,deploymentTime,artifactVersion,artifactName,envClust,env,clust,team,releaseAge
action-v1,success,2023-07-20 00:27:21+00:00,b6ceabf8,topdesk/action-v1,acceptance-ac2k03,acceptance,ac2k03,Pegasus,444.0
action-v1,success,2023-07-07 11:58:38+00:00,1.0.625,topdesk/action-v1,production-au1k02,production,au1k02,Pegasus,745.0
action-v1,success,2023-07-07 11:58:37+00:00,1.0.625,topdesk/action-v1,production-br1k02,production,br1k02,Pegasus,745.0
action-v1,success,2023-07-07 11:58:37+00:00,1.0.625,topdesk/action-v1,production-ca1k02,production,ca1k02,Pegasus,745.0
action-v1,success,2023-07-20 00:25:36+00:00,b6ceabf8,topdesk/action-v1,development-dv1k03,development,dv1k03,Pegasus,444.0
action-v1,success,2023-07-07 11:58:37+00:00,1.0.625,topdesk/action-v1,production-eu1k02,production,eu1k02,Pegasus,745.0
action-v1,success,2023-07-07 11:58:38+00:00,1.0.625,topdesk/action-v1,production-nl3k03,production,nl3k03,Pegasus,745.0
action-v1,success,2023-07-07 11:58:38+00:00,1.0.625,topdesk/action-v1,production-nl4k01,production,nl4k01,Pegasus,745.0
action-v1,success,2023-07-07 11:58:37+00:00,1.0.625,topdesk/action-v1,production-no1k02,production,no1k02,Pegasus,745.0
action-v1,success,2023-07-07 10:56:57+00:00,1.0.625,topdesk/action-v1,production-uk1k03,production,uk1k03,Pegasus,746.0
action-v1,success,2023-07-07 11:58:37+00:00,1.0.625,topdesk/action-v1,production-us1k03,production,us1k03,Pegasus,745.0
active-user-overview,success,2023-07-18 02:32:02+00:00,e6757688,topdesk/active-user-overview,acceptance-ac2k03,acceptance,ac2k03,Zythos,490.0
active-user-overview,success,2023-06-28 13:32:09+00:00,1.1.39,topdesk/active-user-overview,production-au1k02,production,au1k02,Zythos,959.0
active-user-overview,success,2023-06-28 13:32:09+00:00,1.1.39,topdesk/active-user-overview,production-br1k02,production,br1k02,Zythos,959.0
active-user-overview,success,2023-06-28 13:32:08+00:00,1.1.39,topdesk/active-user-overview,production-ca1k02,production,ca1k02,Zythos,959.0
active-user-overview,success,2023-07-19 01:00:48+00:00,ba27b83d,topdesk/active-user-overview,development-dv1k03,development,dv1k03,Zythos,468.0
active-user-overview,success,2023-06-28 13:32:09+00:00,1.1.39,topdesk/active-user-overview,production-eu1k02,production,eu1k02,Zythos,959.0
active-user-overview,success,2023-06-28 13:32:10+00:00,1.1.39,topdesk/active-user-overview,production-nl3k03,production,nl3k03,Zythos,959.0
active-user-overview,success,2023-06-28 13:32:09+00:00,1.1.39,topdesk/active-user-overview,production-nl4k01,production,nl4k01,Zythos,959.0
active-user-overview,success,2023-06-28 13:32:09+00:00,1.1.39,topdesk/active-user-overview,production-no1k02,production,no1k02,Zythos,959.0
active-user-overview,success,2023-06-28 12:30:22+00:00,1.1.39,topdesk/active-user-overview,production-uk1k03,production,uk1k03,Zythos,960.0
active-user-overview,success,2023-06-28 13:32:13+00:00,1.1.39,topdesk/active-user-overview,production-us1k03,production,us1k03,Zythos,959.0
affiliation-dispatcher,success,2023-07-16 04:09:14+00:00,01024eeb,topdesk/smart-cat-parent,acceptance-ac2k03,acceptance,ac2k03,Akupara,537.0
affiliation-dispatcher,success,2023-05-22 14:22:12+00:00,1.0.1,topdesk/smart-cat-parent,production-au1k02,production,au1k02,Akupara,1846.0
affiliation-dispatcher,success,2023-05-22 14:22:13+00:00,1.0.1,topdesk/smart-cat-parent,production-br1k02,production,br1k02,Akupara,1846.0
affiliation-dispatcher,success,2023-05-22 14:22:15+00:00,1.0.1,topdesk/smart-cat-parent,production-ca1k02,production,ca1k02,Akupara,1846.0
affiliation-dispatcher,success,2023-07-16 04:08:40+00:00,01024eeb,topdesk/smart-cat-parent,development-dv1k03,development,dv1k03,Akupara,537.0
affiliation-dispatcher,success,2023-05-22 14:22:15+00:00,1.0.1,topdesk/smart-cat-parent,production-eu1k02,production,eu1k02,Akupara,1846.0
affiliation-dispatcher,success,2023-05-22 14:22:16+00:00,1.0.1,topdesk/smart-cat-parent,production-nl3k03,production,nl3k03,Akupara,1846.0
affiliation-dispatcher,success,2023-05-22 14:22:19+00:00,1.0.1,topdesk/smart-cat-parent,production-nl4k01,production,nl4k01,Akupara,1846.0
affiliation-dispatcher,success,2023-05-22 14:22:19+00:00,1.0.1,topdesk/smart-cat-parent,production-no1k02,production,no1k02,Akupara,1846.0
affiliation-dispatcher,success,2023-05-22 13:19:52+00:00,1.0.1,topdesk/smart-cat-parent,production-uk1k03,production,uk1k03,Akupara,1847.0
affiliation-dispatcher,success,2023-05-22 14:22:20+00:00,1.0.1,topdesk/smart-cat-parent,production-us1k03,production,us1k03,Akupara,1846.0
affiliation-frontend-v1,success,2022-09-07 14:25:21+00:00,c243aaf2,topdesk/affiliation-frontend-v1,acceptance-ac2k03,acceptance,ac2k03,Akupara,8014.0
affiliation-frontend-v1,success,2022-05-03 16:33:27+00:00,1.0.7,topdesk/affiliation-frontend-v1,production-au1k02,production,au1k02,Akupara,11060.0
affiliation-frontend-v1,success,2022-06-23 15:48:00+00:00,1.0.7,topdesk/affiliation-frontend-v1,production-br1k02,production,br1k02,Akupara,9837.0
affiliation-frontend-v1,success,2022-06-23 15:47:45+00:00,1.0.7,topdesk/affiliation-frontend-v1,production-ca1k02,production,ca1k02,Akupara,9837.0
affiliation-frontend-v1,success,2022-09-07 14:23:31+00:00,c243aaf2,topdesk/affiliation-frontend-v1,development-dv1k03,development,dv1k03,Akupara,8014.0
affiliation-frontend-v1,success,2022-06-23 17:43:25+00:00,1.0.7,topdesk/affiliation-frontend-v1,production-eu1k02,production,eu1k02,Akupara,9835.0
affiliation-frontend-v1,success,2022-07-14 12:06:53+00:00,1.0.7,topdesk/affiliation-frontend-v1,production-nl3k03,production,nl3k03,Akupara,9337.0
affiliation-frontend-v1,success,2022-07-27 09:50:37+00:00,1.0.7,topdesk/affiliation-frontend-v1,production-nl4k01,production,nl4k01,Akupara,9027.0
affiliation-frontend-v1,success,2022-06-22 15:37:07+00:00,1.0.7,topdesk/affiliation-frontend-v1,production-no1k02,production,no1k02,Akupara,9861.0
affiliation-frontend-v1,success,2022-07-12 10:35:10+00:00,1.0.7,topdesk/affiliation-frontend-v1,production-uk1k03,production,uk1k03,Akupara,9386.0
affiliation-frontend-v1,success,2022-05-02 15:44:29+00:00,1.0.7,topdesk/affiliation-frontend-v1,production-us1k03,production,us1k03,Akupara,11085.0
affiliation-worker-v0,success,2022-11-07 10:13:29+00:00,1.0.7,topdesk/affiliation-worker-v0,acceptance-ac2k03,acceptance,ac2k03,Akupara,6554.0
affiliation-worker-v0,success,2022-11-07 10:14:48+00:00,1.0.7,topdesk/affiliation-worker-v0,production-au1k02,production,au1k02,Akupara,6554.0
affiliation-worker-v0,success,2022-11-07 10:14:21+00:00,1.0.7,topdesk/affiliation-worker-v0,production-br1k02,production,br1k02,Akupara,6554.0
affiliation-worker-v0,success,2022-11-07 10:14:07+00:00,1.0.7,topdesk/affiliation-worker-v0,production-ca1k02,production,ca1k02,Akupara,6554.0
affiliation-worker-v0,success,2022-11-07 10:09:21+00:00,1.0.7,topdesk/affiliation-worker-v0,development-dv1k03,development,dv1k03,Akupara,6555.0
affiliation-worker-v0,success,2022-11-07 10:14:20+00:00,1.0.7,topdesk/affiliation-worker-v0,production-eu1k02,production,eu1k02,Akupara,6554.0
affiliation-worker-v0,success,2022-11-07 10:14:36+00:00,1.0.7,topdesk/affiliation-worker-v0,production-nl3k03,production,nl3k03,Akupara,6554.0
affiliation-worker-v0,success,2022-11-07 10:14:24+00:00,1.0.7,topdesk/affiliation-worker-v0,production-nl4k01,production,nl4k01,Akupara,6554.0
affiliation-worker-v0,success,2022-11-07 10:14:43+00:00,1.0.7,topdesk/affiliation-worker-v0,production-no1k02,production,no1k02,Akupara,6554.0
affiliation-worker-v0,success,2022-11-07 10:14:51+00:00,1.0.7,topdesk/affiliation-worker-v0,production-uk1k03,production,uk1k03,Akupara,6554.0
affiliation-worker-v0,success,2022-11-07 10:14:41+00:00,1.0.7,topdesk/affiliation-worker-v0,production-us1k03,production,us1k03,Akupara,6554.0
alertmanager,success,2023-01-31 11:57:51+00:00,f2acdf92,topdesk/alertmanager,acceptance-ac2k03,acceptance,ac2k03,SaaS,4513.0
alertmanager,success,2023-01-16 14:31:38+00:00,1.0.0,topdesk/alertmanager,production-au1k02,production,au1k02,SaaS,4870.0
alertmanager,success,2023-01-16 14:32:39+00:00,1.0.0,topdesk/alertmanager,production-br1k02,production,br1k02,SaaS,4870.0
alertmanager,success,2023-01-16 14:33:35+00:00,1.0.0,topdesk/alertmanager,production-ca1k02,production,ca1k02,SaaS,4870.0
alertmanager,success,2023-01-31 11:56:57+00:00,f2acdf92,topdesk/alertmanager,development-dv1k03,development,dv1k03,SaaS,4513.0
alertmanager,success,2023-01-16 14:34:23+00:00,1.0.0,topdesk/alertmanager,production-eu1k02,production,eu1k02,SaaS,4870.0
alertmanager,success,2023-01-16 14:34:55+00:00,1.0.0,topdesk/alertmanager,production-nl3k03,production,nl3k03,SaaS,4870.0
alertmanager,success,2023-01-16 14:35:24+00:00,1.0.0,topdesk/alertmanager,production-nl4k01,production,nl4k01,SaaS,4870.0
alertmanager,success,2023-01-16 14:35:52+00:00,1.0.0,topdesk/alertmanager,production-no1k02,production,no1k02,SaaS,4870.0
alertmanager,success,2023-01-16 14:30:50+00:00,1.0.0,topdesk/alertmanager,production-uk1k03,production,uk1k03,SaaS,4870.0
alertmanager,success,2023-01-16 15:31:52+00:00,1.0.0,topdesk/alertmanager,production-us1k03,production,us1k03,SaaS,4869.0
anonymizer-1,success,2023-06-20 14:41:18+00:00,2.0.6,topdesk/anonymizer-1,acceptance-ac2k03,acceptance,ac2k03,Nightbrother,1150.0
anonymizer-1,success,2023-06-20 15:44:49+00:00,2.0.6,topdesk/anonymizer-1,production-au1k02,production,au1k02,Nightbrother,1149.0
anonymizer-1,success,2023-06-20 15:44:49+00:00,2.0.6,topdesk/anonymizer-1,production-br1k02,production,br1k02,Nightbrother,1149.0
anonymizer-1,success,2023-06-20 15:44:49+00:00,2.0.6,topdesk/anonymizer-1,production-ca1k02,production,ca1k02,Nightbrother,1149.0
anonymizer-1,success,2023-06-20 14:39:40+00:00,2.0.6,topdesk/anonymizer-1,development-dv1k03,development,dv1k03,Nightbrother,1150.0
anonymizer-1,success,2023-06-20 15:17:25+00:00,2.0.6,topdesk/anonymizer-1,production-eu1k02,production,eu1k02,Nightbrother,1149.0
anonymizer-1,success,2023-06-20 15:44:48+00:00,2.0.6,topdesk/anonymizer-1,production-nl3k03,production,nl3k03,Nightbrother,1149.0
anonymizer-1,success,2023-06-20 15:45:02+00:00,2.0.6,topdesk/anonymizer-1,production-nl4k01,production,nl4k01,Nightbrother,1149.0
anonymizer-1,success,2023-06-20 15:44:49+00:00,2.0.6,topdesk/anonymizer-1,production-no1k02,production,no1k02,Nightbrother,1149.0
anonymizer-1,success,2023-06-20 14:43:03+00:00,2.0.6,topdesk/anonymizer-1,production-uk1k03,production,uk1k03,Nightbrother,1150.0
anonymizer-1,success,2023-06-20 15:44:48+00:00,2.0.6,topdesk/anonymizer-1,production-us1k03,production,us1k03,Nightbrother,1149.0
app-domain-api-test-lynx,success,2023-05-16 12:45:23+00:00,8b04bbca,topdesk/app-domain-api-test-lynx,acceptance-ac2k03,acceptance,ac2k03,Rodolfo,1992.0
app-domain-api-test-lynx,success,2023-05-16 12:43:38+00:00,8b04bbca,topdesk/app-domain-api-test-lynx,development-dv1k03,development,dv1k03,Rodolfo,1992.0
app-domain-api-test-rodolfo,success,2023-07-07 06:37:01+00:00,c6e36f15,topdesk/app-domain-api-test-rodolfo,acceptance-ac2k03,acceptance,ac2k03,Rodolfo,750.0
app-domain-api-test-rodolfo,success,2023-07-07 06:36:28+00:00,c6e36f15,topdesk/app-domain-api-test-rodolfo,development-dv1k03,development,dv1k03,Rodolfo,750.0
app-domain-api-v3,success,2023-07-10 06:53:36+00:00,3.85.0,topdesk/app-domain-api-v3,acceptance-ac2k03,acceptance,ac2k03,Rodolfo,678.0
app-domain-api-v3,success,2023-07-10 07:58:03+00:00,3.85.0,topdesk/app-domain-api-v3,production-au1k02,production,au1k02,Rodolfo,677.0
app-domain-api-v3,success,2023-07-10 07:58:03+00:00,3.85.0,topdesk/app-domain-api-v3,production-br1k02,production,br1k02,Rodolfo,677.0
app-domain-api-v3,success,2023-07-10 07:58:03+00:00,3.85.0,topdesk/app-domain-api-v3,production-ca1k02,production,ca1k02,Rodolfo,677.0
app-domain-api-v3,success,2023-07-10 06:51:26+00:00,3.85.0,topdesk/app-domain-api-v3,development-dv1k03,development,dv1k03,Rodolfo,678.0
app-domain-api-v3,success,2023-07-10 07:58:03+00:00,3.85.0,topdesk/app-domain-api-v3,production-eu1k02,production,eu1k02,Rodolfo,677.0
app-domain-api-v3,success,2023-07-10 07:58:04+00:00,3.85.0,topdesk/app-domain-api-v3,production-nl3k03,production,nl3k03,Rodolfo,677.0
app-domain-api-v3,success,2023-07-10 07:58:03+00:00,3.85.0,topdesk/app-domain-api-v3,production-nl4k01,production,nl4k01,Rodolfo,677.0
app-domain-api-v3,success,2023-07-10 07:58:04+00:00,3.85.0,topdesk/app-domain-api-v3,production-no1k02,production,no1k02,Rodolfo,677.0
app-domain-api-v3,success,2023-07-10 06:56:23+00:00,3.85.0,topdesk/app-domain-api-v3,production-uk1k03,production,uk1k03,Rodolfo,678.0
app-domain-api-v3,success,2023-07-10 07:58:03+00:00,3.85.0,topdesk/app-domain-api-v3,production-us1k03,production,us1k03,Rodolfo,677.0
asset-audit,success,2023-07-20 01:08:52+00:00,25690bf8,topdesk/asset-audit,acceptance-ac2k03,acceptance,ac2k03,Customer Solutions (Curiosity),444.0
asset-audit,success,2023-07-17 09:19:05+00:00,2.0.3,topdesk/asset-audit,production-au1k02,production,au1k02,Customer Solutions (Curiosity),507.0
asset-audit,success,2023-07-17 09:19:07+00:00,2.0.3,topdesk/asset-audit,production-br1k02,production,br1k02,Customer Solutions (Curiosity),507.0
asset-audit,success,2023-07-17 09:19:05+00:00,2.0.3,topdesk/asset-audit,production-ca1k02,production,ca1k02,Customer Solutions (Curiosity),507.0
asset-audit,success,2023-07-20 01:07:05+00:00,25690bf8,topdesk/asset-audit,development-dv1k03,development,dv1k03,Customer Solutions (Curiosity),444.0
asset-audit,success,2023-07-17 09:19:05+00:00,2.0.3,topdesk/asset-audit,production-eu1k02,production,eu1k02,Customer Solutions (Curiosity),507.0
asset-audit,success,2023-07-17 09:19:05+00:00,2.0.3,topdesk/asset-audit,production-nl3k03,production,nl3k03,Customer Solutions (Curiosity),507.0
asset-audit,success,2023-07-17 09:19:10+00:00,2.0.3,topdesk/asset-audit,production-nl4k01,production,nl4k01,Customer Solutions (Curiosity),507.0
asset-audit,success,2023-07-17 09:19:09+00:00,2.0.3,topdesk/asset-audit,production-no1k02,production,no1k02,Customer Solutions (Curiosity),507.0
asset-audit,success,2023-07-17 09:12:29+00:00,2.0.3,topdesk/asset-audit,production-uk1k03,production,uk1k03,Customer Solutions (Curiosity),508.0
asset-audit,success,2023-07-17 09:19:09+00:00,2.0.3,topdesk/asset-audit,production-us1k03,production,us1k03,Customer Solutions (Curiosity),507.0
asset-audit-backend,success,2023-07-18 01:13:02+00:00,9354ba31,topdesk/asset-audit-backend,acceptance-ac2k03,acceptance,ac2k03,Customer Solutions (Curiosity),491.0
asset-audit-backend,success,2023-07-17 09:19:14+00:00,2.0.1,topdesk/asset-audit-backend,production-au1k02,production,au1k02,Customer Solutions (Curiosity),507.0
asset-audit-backend,success,2023-07-17 09:19:12+00:00,2.0.1,topdesk/asset-audit-backend,production-br1k02,production,br1k02,Customer Solutions (Curiosity),507.0
asset-audit-backend,success,2023-07-17 09:19:14+00:00,2.0.1,topdesk/asset-audit-backend,production-ca1k02,production,ca1k02,Customer Solutions (Curiosity),507.0
asset-audit-backend,success,2023-07-18 01:11:28+00:00,9354ba31,topdesk/asset-audit-backend,development-dv1k03,development,dv1k03,Customer Solutions (Curiosity),492.0
asset-audit-backend,success,2023-07-17 09:19:10+00:00,2.0.1,topdesk/asset-audit-backend,production-eu1k02,production,eu1k02,Customer Solutions (Curiosity),507.0
asset-audit-backend,success,2023-07-17 09:20:43+00:00,2.0.1,topdesk/asset-audit-backend,production-nl3k03,production,nl3k03,Customer Solutions (Curiosity),507.0
asset-audit-backend,success,2023-07-17 09:21:04+00:00,2.0.1,topdesk/asset-audit-backend,production-nl4k01,production,nl4k01,Customer Solutions (Curiosity),507.0
asset-audit-backend,success,2023-07-17 09:21:04+00:00,2.0.1,topdesk/asset-audit-backend,production-no1k02,production,no1k02,Customer Solutions (Curiosity),507.0
asset-audit-backend,success,2023-07-17 09:15:32+00:00,2.0.1,topdesk/asset-audit-backend,production-uk1k03,production,uk1k03,Customer Solutions (Curiosity),507.0
asset-audit-backend,success,2023-07-17 09:21:20+00:00,2.0.1,topdesk/asset-audit-backend,production-us1k03,production,us1k03,Customer Solutions (Curiosity),507.0
asset-audit-mobile,success,2023-07-19 01:10:03+00:00,3267b636,topdesk/asset-audit-mobile,acceptance-ac2k03,acceptance,ac2k03,Customer Solutions (Curiosity),468.0
asset-audit-mobile,success,2023-06-15 09:02:29+00:00,0.0.1,topdesk/asset-audit-mobile,production-au1k02,production,au1k02,Customer Solutions (Curiosity),1276.0
asset-audit-mobile,success,2023-06-15 09:02:37+00:00,0.0.1,topdesk/asset-audit-mobile,production-br1k02,production,br1k02,Customer Solutions (Curiosity),1276.0
asset-audit-mobile,success,2023-06-15 09:02:33+00:00,0.0.1,topdesk/asset-audit-mobile,production-ca1k02,production,ca1k02,Customer Solutions (Curiosity),1276.0
asset-audit-mobile,success,2023-07-19 01:08:29+00:00,3267b636,topdesk/asset-audit-mobile,development-dv1k03,development,dv1k03,Customer Solutions (Curiosity),468.0
asset-audit-mobile,success,2023-06-15 09:02:28+00:00,0.0.1,topdesk/asset-audit-mobile,production-eu1k02,production,eu1k02,Customer Solutions (Curiosity),1276.0
asset-audit-mobile,success,2023-06-15 09:02:31+00:00,0.0.1,topdesk/asset-audit-mobile,production-nl3k03,production,nl3k03,Customer Solutions (Curiosity),1276.0
asset-audit-mobile,success,2023-06-15 09:02:32+00:00,0.0.1,topdesk/asset-audit-mobile,production-nl4k01,production,nl4k01,Customer Solutions (Curiosity),1276.0
asset-audit-mobile,success,2023-06-15 09:02:32+00:00,0.0.1,topdesk/asset-audit-mobile,production-no1k02,production,no1k02,Customer Solutions (Curiosity),1276.0
asset-audit-mobile,success,2023-06-15 08:58:49+00:00,0.0.1,topdesk/asset-audit-mobile,production-uk1k03,production,uk1k03,Customer Solutions (Curiosity),1276.0
asset-audit-mobile,success,2023-06-15 09:02:31+00:00,0.0.1,topdesk/asset-audit-mobile,production-us1k03,production,us1k03,Customer Solutions (Curiosity),1276.0
asset-field-overview,success,2023-06-26 13:06:41+00:00,fc73a335,topdesk/asset-field-overview,acceptance-ac2k03,acceptance,ac2k03,Nightbrother,1008.0
asset-field-overview,success,2022-06-24 15:04:13+00:00,90,topdesk/asset-field-overview,production-eu1k02,production,eu1k02,Nightbrother,9814.0
asset-field-overview,success,2022-07-14 12:06:53+00:00,90,topdesk/asset-field-overview,production-nl3k03,production,nl3k03,Nightbrother,9337.0
asset-field-overview,success,2022-07-27 09:50:37+00:00,90,topdesk/asset-field-overview,production-nl4k01,production,nl4k01,Nightbrother,9027.0
asset-field-overview,success,2022-07-12 10:35:10+00:00,90,topdesk/asset-field-overview,production-uk1k03,production,uk1k03,Nightbrother,9386.0
attachmentendpoint-1,success,2023-02-27 12:28:35+00:00,2cc70293,topdesk/attachmentendpoint-1,acceptance-ac2k03,acceptance,ac2k03,Nightbrother,3864.0
attachmentendpoint-1,success,2022-09-15 02:56:44+00:00,1.208,topdesk/attachmentendpoint-1,production-au1k02,production,au1k02,Nightbrother,7834.0
attachmentendpoint-1,success,2022-09-15 02:56:51+00:00,1.208,topdesk/attachmentendpoint-1,production-br1k02,production,br1k02,Nightbrother,7834.0
attachmentendpoint-1,success,2022-09-15 02:56:13+00:00,1.208,topdesk/attachmentendpoint-1,production-ca1k02,production,ca1k02,Nightbrother,7834.0
attachmentendpoint-1,success,2023-02-27 12:26:54+00:00,2cc70293,topdesk/attachmentendpoint-1,development-dv1k03,development,dv1k03,Nightbrother,3864.0
attachmentendpoint-1,success,2022-09-15 02:56:56+00:00,1.208,topdesk/attachmentendpoint-1,production-eu1k02,production,eu1k02,Nightbrother,7834.0
attachmentendpoint-1,success,2022-09-15 02:57:06+00:00,1.208,topdesk/attachmentendpoint-1,production-nl3k03,production,nl3k03,Nightbrother,7834.0
attachmentendpoint-1,success,2022-09-15 02:56:46+00:00,1.208,topdesk/attachmentendpoint-1,production-nl4k01,production,nl4k01,Nightbrother,7834.0
attachmentendpoint-1,success,2022-09-15 02:56:39+00:00,1.208,topdesk/attachmentendpoint-1,production-no1k02,production,no1k02,Nightbrother,7834.0
attachmentendpoint-1,success,2022-09-15 02:56:30+00:00,1.208,topdesk/attachmentendpoint-1,production-uk1k03,production,uk1k03,Nightbrother,7834.0
attachmentendpoint-1,success,2022-09-15 02:56:48+00:00,1.208,topdesk/attachmentendpoint-1,production-us1k03,production,us1k03,Nightbrother,7834.0
audit-trail-v4,success,2023-07-20 03:14:45+00:00,a835bfe9,topdesk/audit-trail-v4,acceptance-ac2k03,acceptance,ac2k03,Cappuccino,441.0
audit-trail-v4,success,2023-07-11 11:23:08+00:00,4.43.1,topdesk/audit-trail-v4,production-au1k02,production,au1k02,Cappuccino,649.0
audit-trail-v4,success,2023-07-11 11:23:16+00:00,4.43.1,topdesk/audit-trail-v4,production-br1k02,production,br1k02,Cappuccino,649.0
audit-trail-v4,success,2023-07-11 11:23:01+00:00,4.43.1,topdesk/audit-trail-v4,production-ca1k02,production,ca1k02,Cappuccino,649.0
audit-trail-v4,success,2023-07-20 03:14:10+00:00,a835bfe9,topdesk/audit-trail-v4,development-dv1k03,development,dv1k03,Cappuccino,441.0
audit-trail-v4,success,2023-07-11 11:23:08+00:00,4.43.1,topdesk/audit-trail-v4,production-eu1k02,production,eu1k02,Cappuccino,649.0
audit-trail-v4,success,2023-07-11 11:23:19+00:00,4.43.1,topdesk/audit-trail-v4,production-nl3k03,production,nl3k03,Cappuccino,649.0
audit-trail-v4,success,2023-07-11 11:23:09+00:00,4.43.1,topdesk/audit-trail-v4,production-nl4k01,production,nl4k01,Cappuccino,649.0
audit-trail-v4,success,2023-07-11 11:23:16+00:00,4.43.1,topdesk/audit-trail-v4,production-no1k02,production,no1k02,Cappuccino,649.0
audit-trail-v4,success,2023-07-11 10:21:23+00:00,4.43.1,topdesk/audit-trail-v4,production-uk1k03,production,uk1k03,Cappuccino,650.0
audit-trail-v4,success,2023-07-11 11:23:19+00:00,4.43.1,topdesk/audit-trail-v4,production-us1k03,production,us1k03,Cappuccino,649.0
authenticated-forms-backend-1,success,2023-04-18 14:08:22+00:00,4404c294,topdesk/forms-backend,acceptance-ac2k03,acceptance,ac2k03,Nightbrother,2663.0
authenticated-forms-backend-1,success,2023-04-18 08:07:36+00:00,2.1.0,topdesk/forms-backend,production-au1k02,production,au1k02,Nightbrother,2669.0
authenticated-forms-backend-1,success,2023-04-18 08:07:59+00:00,2.1.0,topdesk/forms-backend,production-br1k02,production,br1k02,Nightbrother,2669.0
authenticated-forms-backend-1,success,2023-04-18 08:08:06+00:00,2.1.0,topdesk/forms-backend,production-ca1k02,production,ca1k02,Nightbrother,2669.0
authenticated-forms-backend-1,success,2023-04-18 08:08:06+00:00,2.1.0,topdesk/forms-backend,production-eu1k02,production,eu1k02,Nightbrother,2669.0
authenticated-forms-backend-1,success,2023-04-18 08:06:44+00:00,2.1.0,topdesk/forms-backend,production-nl3k03,production,nl3k03,Nightbrother,2669.0
authenticated-forms-backend-1,success,2023-04-18 08:06:44+00:00,2.1.0,topdesk/forms-backend,production-nl4k01,production,nl4k01,Nightbrother,2669.0
authenticated-forms-backend-1,success,2023-04-18 08:08:12+00:00,2.1.0,topdesk/forms-backend,production-no1k02,production,no1k02,Nightbrother,2669.0
authenticated-forms-backend-1,success,2023-04-18 07:04:29+00:00,2.1.0,topdesk/forms-backend,production-uk1k03,production,uk1k03,Nightbrother,2670.0
authenticated-forms-backend-1,success,2023-04-18 08:06:44+00:00,2.1.0,topdesk/forms-backend,production-us1k03,production,us1k03,Nightbrother,2669.0
authenticated-forms-files-api-1,error,2023-04-14 01:29:47+00:00,4308d0ba,topdesk/forms-files-api,acceptance-ac2k03,acceptance,ac2k03,Nightbrother,2771.0
authenticated-forms-files-api-1,success,2022-11-22 10:34:01+00:00,2.0.2,topdesk/forms-files-api,production-br1k02,production,br1k02,Nightbrother,6194.0
authenticated-forms-files-api-1,success,2022-11-22 10:34:16+00:00,2.0.2,topdesk/forms-files-api,production-eu1k02,production,eu1k02,Nightbrother,6194.0
authenticated-forms-files-api-1,success,2022-11-22 10:35:52+00:00,2.0.2,topdesk/forms-files-api,production-nl3k03,production,nl3k03,Nightbrother,6194.0
authenticated-forms-files-api-1,success,2022-11-22 10:35:58+00:00,2.0.2,topdesk/forms-files-api,production-nl4k01,production,nl4k01,Nightbrother,6194.0
authenticated-forms-files-api-1,success,,2.0.2,topdesk/forms-files-api,production-us1k03,production,us1k03,Nightbrother,
authenticated-forms-frontend-1,success,2023-05-18 09:11:50+00:00,2ca523e1,topdesk/authenticated-forms-frontend-1,acceptance-ac2k03,acceptance,ac2k03,Nightbrother,1948.0
authenticated-forms-frontend-1,success,2023-04-25 12:03:08+00:00,2.1.0,topdesk/authenticated-forms-frontend-1,production-br1k02,production,br1k02,Nightbrother,2497.0
authenticated-forms-frontend-1,success,2023-04-25 12:03:09+00:00,2.1.0,topdesk/authenticated-forms-frontend-1,production-eu1k02,production,eu1k02,Nightbrother,2497.0
authenticated-forms-frontend-1,success,2023-04-25 12:03:09+00:00,2.1.0,topdesk/authenticated-forms-frontend-1,production-nl3k03,production,nl3k03,Nightbrother,2497.0
authenticated-forms-frontend-1,success,2023-04-25 12:03:13+00:00,2.1.0,topdesk/authenticated-forms-frontend-1,production-nl4k01,production,nl4k01,Nightbrother,2497.0
authenticated-forms-frontend-1,success,,2.1.0,topdesk/authenticated-forms-frontend-1,production-us1k03,production,us1k03,Nightbrother,
auto-assigner,success,2022-11-05 03:23:42+00:00,23d59cea,topdesk/auto-assigner,acceptance-ac2k03,acceptance,ac2k03,Team Groot,6609.0
auto-assigner,success,2022-05-06 13:07:30+00:00,1.0.7,topdesk/auto-assigner,production-au1k02,production,au1k02,Team Groot,10992.0
auto-assigner,success,2022-06-23 15:48:00+00:00,1.0.7,topdesk/auto-assigner,production-br1k02,production,br1k02,Team Groot,9837.0
auto-assigner,success,2022-06-23 15:47:45+00:00,1.0.7,topdesk/auto-assigner,production-ca1k02,production,ca1k02,Team Groot,9837.0
auto-assigner,success,2022-11-05 03:02:42+00:00,23d59cea,topdesk/auto-assigner,development-dv1k03,development,dv1k03,Team Groot,6610.0
auto-assigner,success,2022-06-23 17:43:25+00:00,1.0.7,topdesk/auto-assigner,production-eu1k02,production,eu1k02,Team Groot,9835.0
auto-assigner,success,2022-07-14 12:06:53+00:00,1.0.7,topdesk/auto-assigner,production-nl3k03,production,nl3k03,Team Groot,9337.0
auto-assigner,success,2022-07-27 09:50:37+00:00,1.0.7,topdesk/auto-assigner,production-nl4k01,production,nl4k01,Team Groot,9027.0
auto-assigner,success,2022-06-22 15:37:07+00:00,1.0.7,topdesk/auto-assigner,production-no1k02,production,no1k02,Team Groot,9861.0
auto-assigner,success,2022-07-12 10:35:10+00:00,1.0.7,topdesk/auto-assigner,production-uk1k03,production,uk1k03,Team Groot,9386.0
